rule,feature_a,value_a,feature_b,value_b,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,order,strength,business_interpretation
payment_channel=ATM AND merchant_country=PH,payment_channel,ATM,merchant_country,PH,677,0.00677,22,0.03249630723781388,0.02549,0.007006307237813883,1.274864936752212,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=POS_TERMINAL AND merchant_country=AE,payment_channel,POS_TERMINAL,merchant_country,AE,708,0.00708,23,0.03248587570621469,0.02549,0.0069958757062146895,1.2744556965953193,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Tuesday AND payment_channel=IVR_PHONE,day_name,Tuesday,payment_channel,IVR_PHONE,2033,0.02033,66,0.03246433841613379,0.02549,0.006974338416133791,1.2736107656388305,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND merchant_country=US,payment_channel,MOBILE_APP,merchant_country,US,740,0.0074,24,0.032432432432432434,0.02549,0.0069424324324324355,1.272359059726655,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=IVR_PHONE AND merchant_country=TH,payment_channel,IVR_PHONE,merchant_country,TH,742,0.00742,24,0.03234501347708895,0.02549,0.006855013477088952,1.2689295204821087,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=MOBILE_APP AND merchant_country=AE,payment_channel,MOBILE_APP,merchant_country,AE,712,0.00712,23,0.032303370786516857,0.02549,0.006813370786516858,1.267295833131301,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Monday AND payment_channel=SMART_WATCH,day_name,Monday,payment_channel,SMART_WATCH,2013,0.02013,65,0.03229011425732737,0.02549,0.006800114257327371,1.2667757652933453,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=IVR_PHONE AND merchant_country=GB,payment_channel,IVR_PHONE,merchant_country,GB,714,0.00714,23,0.03221288515406162,0.02549,0.0067228851540616225,1.263745984859224,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND merchant_country=HK,payment_channel,SMART_WATCH,merchant_country,HK,686,0.00686,22,0.03206997084548105,0.02549,0.006579970845481051,1.2581393034712065,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Monday AND payment_channel=API_SERVER,day_name,Monday,payment_channel,API_SERVER,2065,0.02065,66,0.031961259079903145,0.02549,0.006471259079903147,1.2538744244763886,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=IVR_PHONE AND term_location=BRANCH_COUNTER,payment_channel,IVR_PHONE,term_location,BRANCH_COUNTER,2015,0.02015,64,0.03176178660049628,0.02549,0.006271786600496279,1.2460489054725885,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=ATM AND card_entry_mode=MANUAL_KEYED,payment_channel,ATM,card_entry_mode,MANUAL_KEYED,2380,0.0238,75,0.031512605042016806,0.02549,0.006022605042016807,1.2362732460579366,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=CONTACTLESS AND auth_result=AVS_PASS,card_entry_mode,CONTACTLESS,auth_result,AVS_PASS,2038,0.02038,64,0.03140333660451423,0.02549,0.0059133366045142285,1.2319865282273137,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=MANUAL_KEYED AND auth_result=AVS_FAIL,card_entry_mode,MANUAL_KEYED,auth_result,AVS_FAIL,2169,0.02169,68,0.03135085292761641,0.02549,0.005860852927616414,1.229927537372162,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=ATM AND merchant_country=SG,payment_channel,ATM,merchant_country,SG,702,0.00702,22,0.03133903133903134,0.02549,0.005849031339031342,1.2294637637909511,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=MOBILE_APP AND merchant_country=BR,payment_channel,MOBILE_APP,merchant_country,BR,737,0.00737,23,0.031207598371777476,0.02549,0.005717598371777478,1.2243075077197911,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Wednesday AND payment_channel=MOBILE_APP,day_name,Wednesday,payment_channel,MOBILE_APP,2054,0.02054,64,0.0311587147030185,0.02549,0.005668714703018503,1.2223897490395648,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND card_entry_mode=CONTACTLESS,payment_channel,MOBILE_APP,card_entry_mode,CONTACTLESS,2382,0.02382,74,0.031066330814441646,0.02549,0.005576330814441647,1.2187654301467887,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=ATM AND merchant_country=VN,payment_channel,ATM,merchant_country,VN,676,0.00676,21,0.03106508875739645,0.02549,0.00557508875739645,1.2187167029186525,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
card_entry_mode=QR_CODE AND auth_result=AVS_FAIL,card_entry_mode,QR_CODE,auth_result,AVS_FAIL,2126,0.02126,66,0.031044214487300093,0.02549,0.005554214487300094,1.2178977829462572,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=SMART_WATCH AND merchant_country=CA,payment_channel,SMART_WATCH,merchant_country,CA,742,0.00742,23,0.03099730458221024,0.02549,0.005507304582210243,1.2160574571286875,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=SMART_WATCH AND card_entry_mode=MANUAL_KEYED,payment_channel,SMART_WATCH,card_entry_mode,MANUAL_KEYED,2330,0.0233,72,0.030901287553648068,0.02549,0.005411287553648069,1.2122906062631646,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
day_name=Friday AND payment_channel=WEB_BROWSER,day_name,Friday,payment_channel,WEB_BROWSER,2039,0.02039,63,0.03089749877390878,0.02549,0.005407498773908781,1.212141968376178,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=WEB_BROWSER AND term_location=ONLINE_PORTAL,payment_channel,WEB_BROWSER,term_location,ONLINE_PORTAL,2040,0.0204,63,0.030882352941176472,0.02549,0.005392352941176473,1.211547781136778,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=ATM AND term_location=MOBILE_APP,payment_channel,ATM,term_location,MOBILE_APP,2078,0.02078,64,0.030798845043310877,0.02549,0.005308845043310879,1.2082716768658641,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=MAGSTRIPE AND auth_result=AVS_PASS,card_entry_mode,MAGSTRIPE,auth_result,AVS_PASS,2091,0.02091,64,0.030607364897178385,0.02549,0.005117364897178386,1.2007597056562724,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=WEB_BROWSER AND card_entry_mode=QR_CODE,payment_channel,WEB_BROWSER,card_entry_mode,QR_CODE,2387,0.02387,73,0.03058232090490155,0.02549,0.00509232090490155,1.1997772030169302,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
day_name=Monday AND payment_channel=POS_TERMINAL,day_name,Monday,payment_channel,POS_TERMINAL,2096,0.02096,64,0.030534351145038167,0.02549,0.005044351145038168,1.1978952979614816,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
day_name=Monday AND payment_channel=ATM,day_name,Monday,payment_channel,ATM,1998,0.01998,61,0.03053053053053053,0.02549,0.005040530530530531,1.1977454111624375,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND merchant_country=GB,payment_channel,MOBILE_APP,merchant_country,GB,722,0.00722,22,0.030470914127423823,0.02549,0.0049809141274238244,1.1954065958189024,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=API_SERVER AND merchant_country=PH,payment_channel,API_SERVER,merchant_country,PH,691,0.00691,21,0.030390738060781478,0.02549,0.004900738060781479,1.1922612028552955,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
cross_border=False AND merchant_country=AE,cross_border,False,merchant_country,AE,4083,0.04083,123,0.030124908155767818,0.02549,0.004634908155767819,1.181832410975591,2,LOW_SIGNAL,Giao dịch xuyên biên giới. Risk phụ thuộc vào việc user có quen giao dịch nhiều quốc gia hay không.
payment_channel=API_SERVER AND merchant_country=JP,payment_channel,API_SERVER,merchant_country,JP,668,0.00668,20,0.029940119760479042,0.02549,0.004450119760479043,1.1745829643185188,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
auth_result=AVS_PASS AND pin_verif_method=NONE,auth_result,AVS_PASS,pin_verif_method,NONE,3095,0.03095,92,0.029725363489499192,0.02549,0.004235363489499194,1.1661578458022437,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=WEB_BROWSER AND merchant_country=CA,payment_channel,WEB_BROWSER,merchant_country,CA,707,0.00707,21,0.0297029702970297,0.02549,0.004212970297029703,1.165279336878372,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
card_entry_mode=TOKEN_IN_APP AND auth_result=BIOMETRIC_PASS,card_entry_mode,TOKEN_IN_APP,auth_result,BIOMETRIC_PASS,2054,0.02054,61,0.02969814995131451,0.02549,0.004208149951314511,1.1650902295533352,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND term_location=POS_TERMINAL,payment_channel,MOBILE_APP,term_location,POS_TERMINAL,2021,0.02021,60,0.029688273132112815,0.02549,0.004198273132112816,1.1647027513578978,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=POS_TERMINAL AND merchant_country=CA,payment_channel,POS_TERMINAL,merchant_country,CA,640,0.0064,19,0.0296875,0.02549,0.0041975,1.1646724205570813,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
cross_border=False AND merchant_country=US,cross_border,False,merchant_country,US,3918,0.03918,116,0.029606942317508933,0.02549,0.004116942317508934,1.161512056395015,2,LOW_SIGNAL,Giao dịch xuyên biên giới. Risk phụ thuộc vào việc user có quen giao dịch nhiều quốc gia hay không.
payment_channel=WEB_BROWSER AND merchant_country=PH,payment_channel,WEB_BROWSER,merchant_country,PH,744,0.00744,22,0.02956989247311828,0.02549,0.004079892473118282,1.1600585513188812,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
time_period=late_evening AND payment_channel=IVR_PHONE,time_period,late_evening,payment_channel,IVR_PHONE,1152,0.01152,34,0.029513888888888888,0.02549,0.004023888888888889,1.157861470729262,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=MAGSTRIPE AND auth_result=3DS_FAIL,card_entry_mode,MAGSTRIPE,auth_result,3DS_FAIL,2073,0.02073,61,0.02942595272551857,0.02549,0.003935952725518572,1.154411640859889,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=IVR_PHONE AND card_entry_mode=CHIP,payment_channel,IVR_PHONE,card_entry_mode,CHIP,2380,0.0238,70,0.029411764705882353,0.02549,0.003921764705882354,1.1538550296540744,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
day_name=Thursday AND payment_channel=POS_TERMINAL,day_name,Thursday,payment_channel,POS_TERMINAL,1939,0.01939,57,0.029396596183599792,0.02549,0.003906596183599793,1.1532599522793172,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=WEB_BROWSER AND merchant_country=VN,payment_channel,WEB_BROWSER,merchant_country,VN,751,0.00751,22,0.02929427430093209,0.02549,0.0038042743009320916,1.149245755234684,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=ATM AND term_location=KIOSK,payment_channel,ATM,term_location,KIOSK,1983,0.01983,58,0.02924861321230459,0.02549,0.0037586132123045915,1.147454421824425,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
cross_border=False AND merchant_country=VN,cross_border,False,merchant_country,VN,4036,0.04036,118,0.02923686818632309,0.02549,0.003746868186323093,1.1469936518761512,2,LOW_SIGNAL,Giao dịch xuyên biên giới. Risk phụ thuộc vào việc user có quen giao dịch nhiều quốc gia hay không.
payment_channel=API_SERVER AND merchant_country=TH,payment_channel,API_SERVER,merchant_country,TH,687,0.00687,20,0.02911208151382824,0.02549,0.0036220815138282396,1.1420981370666237,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
payment_channel=MOBILE_APP AND term_location=BRANCH_COUNTER,payment_channel,MOBILE_APP,term_location,BRANCH_COUNTER,2030,0.0203,59,0.029064039408866996,0.02549,0.003574039408866997,1.140213393835504,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=POS_TERMINAL AND term_location=ONLINE_PORTAL,payment_channel,POS_TERMINAL,term_location,ONLINE_PORTAL,1997,0.01997,58,0.02904356534802203,0.02549,0.003553565348022033,1.1394101745006682,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=MAGSTRIPE AND auth_result=BIOMETRIC_FAIL,card_entry_mode,MAGSTRIPE,auth_result,BIOMETRIC_FAIL,2039,0.02039,59,0.02893575282000981,0.02549,0.00344575282000981,1.135180573558643,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
time_period=afternoon AND payment_channel=POS_TERMINAL,time_period,afternoon,payment_channel,POS_TERMINAL,3422,0.03422,99,0.028930450029222676,0.02549,0.0034404500292226775,1.1349725393967312,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=CHIP AND auth_result=BIOMETRIC_FAIL,card_entry_mode,CHIP,auth_result,BIOMETRIC_FAIL,2075,0.02075,60,0.02891566265060241,0.02549,0.0034256626506024117,1.1343924146960538,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
auth_result=BIOMETRIC_FAIL AND pin_verif_method=NONE,auth_result,BIOMETRIC_FAIL,pin_verif_method,NONE,3117,0.03117,90,0.028873917228103944,0.02549,0.0033839172281039456,1.1327546970617475,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
card_entry_mode=QR_CODE AND auth_result=AVS_PASS,card_entry_mode,QR_CODE,auth_result,AVS_PASS,2046,0.02046,59,0.028836754643206255,0.02549,0.003346754643206256,1.1312967690547766,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND merchant_country=AU,payment_channel,MOBILE_APP,merchant_country,AU,729,0.00729,21,0.02880658436213992,0.02549,0.0033165843621399196,1.1301131566159246,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
day_name=Wednesday AND payment_channel=ATM,day_name,Wednesday,payment_channel,ATM,2049,0.02049,59,0.02879453391898487,0.02549,0.0033045339189848727,1.1296404048248283,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND merchant_country=MY,payment_channel,MOBILE_APP,merchant_country,MY,730,0.0073,21,0.028767123287671233,0.02549,0.003277123287671234,1.1285650564013823,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
time_period=morning AND payment_channel=API_SERVER,time_period,morning,payment_channel,API_SERVER,3659,0.03659,105,0.028696365127083904,0.02549,0.003206365127083905,1.1257891379789684,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=POS_TERMINAL AND merchant_country=ZA,payment_channel,POS_TERMINAL,merchant_country,ZA,732,0.00732,21,0.028688524590163935,0.02549,0.0031985245901639363,1.1254815453183185,2,LOW_SIGNAL,Một số tổ hợp kênh thanh toán và quốc gia merchant có fraud rate cao hơn baseline.
card_entry_mode=QR_CODE AND auth_result=3DS_PASS,card_entry_mode,QR_CODE,auth_result,3DS_PASS,2094,0.02094,60,0.02865329512893983,0.02549,0.003163295128939831,1.1240994558234536,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=API_SERVER AND card_entry_mode=CHIP,payment_channel,API_SERVER,card_entry_mode,CHIP,2445,0.02445,70,0.028629856850715747,0.02549,0.0031398568507157477,1.1231799470661337,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
time_period=late_evening AND payment_channel=MOBILE_APP,time_period,late_evening,payment_channel,MOBILE_APP,1189,0.01189,34,0.028595458368376788,0.02549,0.0031054583683767893,1.1218304577629183,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
payment_channel=MOBILE_APP AND card_entry_mode=CHIP,payment_channel,MOBILE_APP,card_entry_mode,CHIP,2379,0.02379,68,0.028583438419503993,0.02549,0.0030934384195039945,1.1213589022951744,2,LOW_SIGNAL,"Rule có tín hiệu thống kê. Cần kiểm tra support, lift, fraud_rate và ý nghĩa nghiệp vụ trước khi đưa vào model."
