currency,payment_channel,merchant_country,mcc,card_present,card_entry_mode,auth_result,pin_verif_method,tokenised,recurring_flag,cross_border,auth_characteristics,message_type,term_location,day_name,time_period,ip_score_bin,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,night_ratio_group,amount_to_mean_group,amount_to_max_group,night_unusual_group,high_ip_high_amount_flag,high_decline_high_amount_flag,private_ip_high_score_flag,high_velocity_high_amount_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_card_not_present,low_night_ratio_x_high_max_amount_30d,cross_border_x_low_country_diversity,high_ip_score_x_card_not_present,amount,mean_amount_30d,std_amount_30d,max_amount_30d,night_ratio_30d,mcc_entropy_30d,distinct_merchants_7d,distinct_countries_30d,device_diversity_30d,decline_rate_30d,chargebacks_365d,credit_util_today,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,hour,amount_to_mean_30d,amount_to_max_30d,night_unusual_score,fraud
USD,API_SERVER,JP,4496,False,CHIP,AVS_FAIL,NONE,True,RECURRING_SUBSCRIPTION,False,E_COMMERCE,0200-FinReq,ONLINE_PORTAL,Tuesday,evening,medium,medium,low,very_high,gt_20,very_low,high,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,15629.06,6.34,1.07,71119.48,0.662,2.68,51,21,39,0.067,5,1.171,0.3834,42.0,325.0,0.12883435582822086,20,2129.299727520436,0.21975470356780494,0.0,0
GBP,SMART_WATCH,BR,7007,False,TOKEN_IN_APP,3DS_PASS,SIGNATURE,False,RECURRING_SUBSCRIPTION,False,FORCE_POST,0200-FinReq,POS_TERMINAL,Friday,morning,low,low,high,very_high,gt_20,low,medium,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,186705.04,8.95,1.42,210333.62,0.333,3.587,57,22,20,0.307,0,1.886,0.1964,89.0,377.0,0.23544973544973544,10,18764.325628140705,0.8876572007023856,0.0,0
USD,POS_TERMINAL,DE,5309,True,CONTACTLESS,AVS_FAIL,NONE,False,MOTO_PHONE,False,E_COMMERCE,0400-Reversal,POS_TERMINAL,Wednesday,afternoon,medium,medium,low,very_high,6_10,very_low,very_low,extreme,below_half_max,not_night,0,0,0,0,0,0,0,1,0,0,115807.07,5.63,1.3,247244.33,0.052,3.667,115,3,37,0.032,0,1.712,0.255,9.0,365.0,0.02459016393442623,12,17467.129713423834,0.4683893119437282,0.0,0
VND,POS_TERMINAL,PH,7700,False,MANUAL_KEYED,CVV_FAIL,ONLINE_PIN,False,MOTO_PHONE,True,MOBILE_TOKEN,0200-FinReq,KIOSK,Thursday,afternoon,medium,medium,medium,very_high,gt_20,low,very_low,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,174272.0,6.98,1.34,215440.2,0.001,3.541,81,9,28,0.105,0,1.09,0.2888,80.0,383.0,0.20833333333333334,15,21838.59649122807,0.8089074884469637,0.0,0
USD,MOBILE_APP,SG,3016,True,CONTACTLESS,AVS_PASS,OFFLINE_PIN,True,MOTO_PHONE,False,FALLBACK_MAG,0420-RepeatRev,BRANCH_COUNTER,Tuesday,morning,medium,medium,medium,high,gt_20,low,low,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,22977.5,5.6,2.12,91957.32,0.12,1.825,81,7,30,0.17,0,0.81,0.276,78.0,379.0,0.20526315789473684,9,3481.439393939394,0.24986863613863322,0.0,0
USD,POS_TERMINAL,TH,7905,False,CHIP,AVS_FAIL,NONE,True,RECURRING_SUBSCRIPTION,False,MOBILE_TOKEN,0210-FinRsp,BRANCH_COUNTER,Thursday,evening,medium,medium,medium,very_high,gt_20,low,high,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,41884.05,7.43,7.29,68505.22,0.96,3.538,69,17,1,0.129,0,1.938,0.4573,94.0,325.0,0.2883435582822086,18,4968.451957295374,0.6113904693617602,0.0,0
EUR,POS_TERMINAL,DE,7676,False,MAGSTRIPE,CVV_PASS,OFFLINE_PIN,False,RECURRING_SUBSCRIPTION,True,CRYPTOGRAM_PRESENT,0420-RepeatRev,ONLINE_PORTAL,Wednesday,afternoon,medium,medium,medium,very_high,gt_20,very_low,low,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,48309.34,7.93,1.27,162035.7,0.257,0.974,80,9,35,0.248,0,1.854,0.3706,88.0,444.0,0.19775280898876405,15,5409.780515117581,0.2981382612704405,0.0,0
EUR,ATM,AU,4346,True,CHIP,CVV_FAIL,OFFLINE_PIN,True,INSTALLMENT_PLAN,False,MOBILE_TOKEN,0510-AdviceRsp,CALL_CENTER,Saturday,evening,low,low,low,very_high,2_5,very_low,low,extreme,above_max,not_night,0,0,0,0,0,0,0,0,0,0,37430.87,9.41,4.07,26967.88,0.196,1.073,56,24,8,0.081,0,1.446,0.097,2.0,111.0,0.017857142857142856,18,3595.66474543708,1.3879282343204464,0.0,0
EUR,ATM,ZA,3320,False,QR_CODE,AVS_FAIL,SIGNATURE,False,MOTO_PHONE,True,CARD_PRESENT,0110-AuthRsp,WEARABLE_PAY,Thursday,night,medium,medium,medium,medium,gt_20,low,low,extreme,below_half_max,high,0,0,0,0,0,0,0,0,0,0,2243.7,5.76,2.46,138885.88,0.261,1.861,54,4,26,0.223,0,0.317,0.2947,82.0,335.0,0.24404761904761904,2,331.9082840236686,0.016154873664092677,0.739,0
KRW,MOBILE_APP,SG,5450,True,MAGSTRIPE,CVV_FAIL,ONLINE_PIN,True,INSTALLMENT_PLAN,False,FORCE_POST,0110-AuthRsp,MOBILE_APP,Thursday,night,medium,medium,medium,high,gt_20,very_low,high,extreme,above_max,low,0,0,0,0,0,0,0,0,0,0,189292.54,5.71,1.24,177285.09,0.805,1.592,72,9,21,0.241,0,0.829,0.2666,27.0,205.0,0.13106796116504854,4,28210.51266766021,1.0677235873384088,0.19499999999999995,0
USD,IVR_PHONE,JP,4035,False,CHIP,CVV_PASS,NONE,False,INSTALLMENT_PLAN,False,CRYPTOGRAM_PRESENT,0420-RepeatRev,WEARABLE_PAY,Wednesday,late_evening,medium,medium,medium,high,gt_20,very_low,low,extreme,near_max,high,0,0,0,0,0,0,0,0,0,0,121860.38,6.73,2.15,201409.64,0.206,1.313,81,4,29,0.154,0,0.708,0.371,26.0,357.0,0.07262569832402235,23,15764.602846054333,0.6050344708700592,0.794,0
USD,POS_TERMINAL,ID,3258,True,TOKEN_IN_APP,CVV_FAIL,ONLINE_PIN,True,INSTALLMENT_PLAN,False,FALLBACK_MAG,0210-FinRsp,CALL_CENTER,Friday,evening,medium,medium,low,very_high,6_10,very_low,high,extreme,above_max,not_night,0,0,0,0,0,0,0,0,0,0,89121.58,5.42,2.11,58151.48,0.926,3.125,39,11,40,0.089,0,1.098,0.2497,10.0,393.0,0.025380710659898477,18,13881.866043613707,1.532549944559544,0.0,0
CHF,WEB_BROWSER,FR,5828,False,MANUAL_KEYED,BIOMETRIC_PASS,OFFLINE_PIN,True,INSTALLMENT_PLAN,False,CARD_PRESENT,0100-AuthReq,MOBILE_APP,Tuesday,morning,medium,medium,medium,very_high,gt_20,low,low,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,137742.85,5.56,1.08,241336.53,0.185,3.972,85,6,24,0.134,0,1.242,0.359,60.0,154.0,0.3870967741935484,7,20997.38567073171,0.5707477407264424,0.0,0
VND,IVR_PHONE,HK,4378,False,TOKEN_IN_APP,BIOMETRIC_PASS,SIGNATURE,True,SINGLE_PURCHASE,False,CRYPTOGRAM_PRESENT,0110-AuthRsp,MOBILE_APP,Tuesday,afternoon,medium,medium,medium,very_high,gt_20,medium,high,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,64339.22,6.12,3.54,167803.05,0.915,1.262,89,21,23,0.182,0,1.951,0.4891,53.0,103.0,0.5096153846153846,17,9036.407303370786,0.3834187553876084,0.0,0
USD,POS_TERMINAL,JP,7833,True,CONTACTLESS,BIOMETRIC_PASS,NONE,False,RECURRING_SUBSCRIPTION,True,MOBILE_TOKEN,0500-Advice,MOBILE_APP,Sunday,afternoon,medium,medium,medium,very_high,2_5,medium,high,extreme,extreme,not_night,0,0,0,0,0,0,0,0,1,0,184811.89,6.38,1.17,34877.76,0.875,1.45,37,2,4,0.146,0,1.455,0.3579,2.0,2.0,0.6666666666666666,13,25042.261517615178,5.298694391658419,0.0,0
USD,WEB_BROWSER,HK,5496,False,MAGSTRIPE,3DS_FAIL,SIGNATURE,False,MOTO_MAIL,False,CRYPTOGRAM_PRESENT,0500-Advice,MOBILE_APP,Monday,morning,low,low,low,medium,6_10,very_low,very_low,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,100892.16,13.08,7.07,224234.29,0.057,0.468,110,23,20,0.092,0,0.47,0.1361,6.0,306.0,0.019543973941368076,11,7165.636363636364,0.4499388120397998,0.0,0
CNY,API_SERVER,HK,4643,False,QR_CODE,3DS_FAIL,ONLINE_PIN,False,MOTO_PHONE,False,FALLBACK_MAG,0420-RepeatRev,CALL_CENTER,Tuesday,afternoon,medium,medium,medium,very_high,gt_20,very_low,low,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,128056.67,5.24,2.81,229504.23,0.14,2.307,117,10,36,0.205,0,1.015,0.2305,60.0,372.0,0.16085790884718498,13,20521.902243589742,0.5579684175388944,0.0,0
JPY,SMART_WATCH,DE,4460,False,MAGSTRIPE,AVS_FAIL,NONE,True,MOTO_MAIL,False,E_COMMERCE,0500-Advice,ONLINE_PORTAL,Friday,night,medium,medium,medium,very_high,gt_20,very_low,medium,extreme,below_half_max,medium,0,0,0,0,0,0,0,0,0,0,17111.45,7.49,1.67,165312.55,0.522,2.974,21,21,40,0.14,0,1.16,0.4207,26.0,366.0,0.07084468664850137,3,2015.4829210836278,0.10350905899728124,0.478,0
USD,WEB_BROWSER,ZA,7635,False,MAGSTRIPE,3DS_PASS,NONE,True,RECURRING_SUBSCRIPTION,True,MOBILE_TOKEN,0510-AdviceRsp,MOBILE_APP,Saturday,evening,medium,medium,medium,high,gt_20,low,high,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,51473.09,5.11,6.56,242839.0,0.845,3.609,95,15,13,0.222,1,0.679,0.2961,55.0,126.0,0.4330708661417323,18,8424.400981996725,0.21196297973974632,0.0,0
USD,POS_TERMINAL,TH,3348,False,QR_CODE,BIOMETRIC_FAIL,SIGNATURE,True,SINGLE_PURCHASE,False,CARD_PRESENT,0510-AdviceRsp,ONLINE_PORTAL,Tuesday,morning,medium,medium,medium,very_high,6_10,very_low,low,extreme,extreme,not_night,0,0,0,0,0,0,0,0,0,0,77078.35,6.71,1.48,7314.46,0.198,3.427,71,6,9,0.105,0,1.275,0.3155,8.0,63.0,0.125,6,9997.191958495461,10.536364083734995,0.0,0
IDR,API_SERVER,VN,3173,False,TOKEN_IN_APP,BIOMETRIC_PASS,OFFLINE_PIN,False,MOTO_PHONE,False,CRYPTOGRAM_PRESENT,0210-FinRsp,POS_TERMINAL,Friday,morning,low,low,medium,very_high,gt_20,very_low,low,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,15975.87,5.08,2.06,120532.54,0.121,0.794,59,11,29,0.141,0,1.953,0.073,41.0,426.0,0.09601873536299765,7,2627.6101973684213,0.1325429419894247,0.0,0
IDR,SMART_WATCH,AE,5273,True,CHIP,CVV_FAIL,ONLINE_PIN,False,INSTALLMENT_PLAN,False,CRYPTOGRAM_PRESENT,0100-AuthReq,POS_TERMINAL,Friday,night,low,low,medium,high,gt_20,very_low,very_low,extreme,below_half_max,very_high,0,0,0,0,0,0,0,1,0,0,100247.75,7.03,7.72,237435.77,0.037,0.481,56,14,37,0.259,0,0.67,0.1048,46.0,395.0,0.11616161616161616,1,12484.15317559153,0.42220819462798453,0.963,0
USD,ATM,KR,3191,False,MAGSTRIPE,CVV_PASS,ONLINE_PIN,False,MOTO_MAIL,False,FORCE_POST,0420-RepeatRev,KIOSK,Friday,night,high,high,medium,high,gt_20,very_low,medium,extreme,below_half_max,medium,0,0,0,0,0,0,0,0,0,1,42887.69,11.4,1.05,228472.05,0.566,3.527,29,6,19,0.118,0,0.831,0.6621,36.0,285.0,0.1258741258741259,5,3458.684677419355,0.18771443721699343,0.43400000000000005,0
EUR,ATM,DE,5391,False,TOKEN_IN_APP,3DS_PASS,ONLINE_PIN,False,INSTALLMENT_PLAN,False,CRYPTOGRAM_PRESENT,0210-FinRsp,CALL_CENTER,Friday,late_evening,medium,medium,medium,high,6_10,low,high,extreme,below_half_max,medium,0,0,0,0,0,0,0,0,0,0,29218.19,5.25,1.92,236537.42,0.635,0.455,45,23,22,0.156,0,0.868,0.2972,8.0,19.0,0.4,22,4674.9104,0.12352407697658586,0.365,0
EUR,API_SERVER,MY,5992,False,CONTACTLESS,3DS_PASS,ONLINE_PIN,True,MOTO_MAIL,False,MOBILE_TOKEN,0510-AdviceRsp,MOBILE_APP,Sunday,night,low,low,high,high,gt_20,very_low,medium,extreme,above_max,medium,0,0,0,0,0,0,0,0,0,0,66294.34,5.92,1.29,53967.16,0.472,1.603,89,9,11,0.317,3,0.892,0.1237,29.0,488.0,0.05930470347648262,0,9580.106936416185,1.2283972623858215,0.528,0
USD,API_SERVER,CN,5720,False,MANUAL_KEYED,3DS_PASS,OFFLINE_PIN,True,INSTALLMENT_PLAN,False,CRYPTOGRAM_PRESENT,0100-AuthReq,ONLINE_PORTAL,Wednesday,night,medium,medium,medium,very_high,gt_20,very_low,medium,extreme,above_max,medium,0,0,0,0,0,0,0,0,0,0,64082.34,7.36,2.21,35304.73,0.464,2.849,50,16,20,0.294,0,1.184,0.3184,64.0,482.0,0.13250517598343686,5,7665.351674641149,1.8150691120109963,0.536,0
CHF,POS_TERMINAL,ZA,4976,True,CHIP,AVS_FAIL,OFFLINE_PIN,True,SINGLE_PURCHASE,False,E_COMMERCE,0510-AdviceRsp,MOBILE_APP,Thursday,night,medium,medium,medium,high,gt_20,low,high,extreme,much_above_max,low,0,0,0,0,0,0,0,0,0,0,110340.46,10.04,1.16,49230.76,0.884,3.558,103,6,14,0.155,0,0.611,0.4857,70.0,219.0,0.3181818181818182,0,9994.606884057972,2.24124548868454,0.11599999999999999,0
USD,WEB_BROWSER,MY,5075,False,MAGSTRIPE,CVV_FAIL,OFFLINE_PIN,True,SINGLE_PURCHASE,False,FORCE_POST,0110-AuthRsp,BRANCH_COUNTER,Saturday,night,medium,medium,medium,low,gt_20,medium,high,extreme,near_max,low,0,0,0,0,0,0,0,0,0,0,72380.35,5.17,1.78,114174.1,0.84,2.714,46,22,31,0.158,0,0.168,0.3279,71.0,105.0,0.6698113207547169,0,11731.012965964344,0.6339416387636183,0.16000000000000003,0
EUR,ATM,ZA,5104,False,MAGSTRIPE,CVV_FAIL,ONLINE_PIN,True,MOTO_PHONE,False,FORCE_POST,0510-AdviceRsp,CALL_CENTER,Tuesday,morning,medium,medium,low,very_high,11_20,very_low,high,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,2249.68,12.56,1.9,17184.83,0.646,1.807,75,3,32,0.066,0,1.706,0.2646,15.0,168.0,0.08875739644970414,11,165.905604719764,0.13090319175739545,0.0,0
AUD,API_SERVER,TH,7004,False,CONTACTLESS,3DS_FAIL,OFFLINE_PIN,False,SINGLE_PURCHASE,True,MOBILE_TOKEN,0100-AuthReq,ONLINE_PORTAL,Thursday,morning,medium,medium,medium,medium,gt_20,low,medium,extreme,above_max,not_night,0,0,0,0,0,0,0,0,0,0,182403.6,6.66,2.38,174050.37,0.439,2.952,28,23,26,0.217,0,0.514,0.3437,88.0,177.0,0.4943820224719101,8,23812.48041775457,1.0479871545969446,0.0,0
VND,ATM,SG,3249,False,TOKEN_IN_APP,AVS_FAIL,NONE,True,MOTO_PHONE,True,FALLBACK_MAG,0200-FinReq,MOBILE_APP,Wednesday,afternoon,medium,medium,medium,medium,gt_20,medium,high,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,66872.73,5.89,2.43,148911.55,0.942,2.419,55,9,24,0.11,0,0.33,0.4837,79.0,148.0,0.5302013422818792,14,9705.76632801161,0.4490738356169443,0.0,0
HKD,SMART_WATCH,DE,3037,True,CHIP,AVS_PASS,SIGNATURE,True,MOTO_PHONE,True,CARD_PRESENT,0210-FinRsp,ONLINE_PORTAL,Thursday,morning,low,low,low,very_high,gt_20,very_low,medium,extreme,near_max,not_night,0,0,0,0,0,0,0,0,0,0,190442.83,5.03,2.23,211209.32,0.319,2.704,93,23,7,0.067,0,1.83,0.145,56.0,446.0,0.12527964205816555,6,31582.558872305137,0.9016738860108728,0.0,0
IDR,API_SERVER,AU,7363,True,MAGSTRIPE,CVV_FAIL,ONLINE_PIN,False,MOTO_PHONE,False,CARD_PRESENT,0200-FinReq,KIOSK,Tuesday,morning,low,low,low,very_high,2_5,very_low,high,extreme,much_above_max,not_night,0,0,0,0,0,0,0,0,0,0,193454.81,5.33,1.46,47213.93,0.945,0.802,50,10,35,0.058,0,1.951,0.098,2.0,61.0,0.03225806451612903,11,30561.581358609794,4.097322817168213,0.0,0
AUD,IVR_PHONE,CN,4838,True,MAGSTRIPE,CVV_PASS,SIGNATURE,True,MOTO_MAIL,False,CARD_PRESENT,0400-Reversal,ONLINE_PORTAL,Friday,afternoon,medium,medium,medium,high,gt_20,very_low,low,extreme,below_half_max,not_night,0,0,0,0,0,0,0,0,0,0,73677.56,6.17,1.24,239241.11,0.118,3.219,63,22,18,0.128,0,0.635,0.4274,31.0,250.0,0.12350597609561753,12,10275.810320781033,0.30796233990746863,0.0,0
USD,API_SERVER,IN,7130,False,CONTACTLESS,CVV_PASS,NONE,True,MOTO_PHONE,False,CRYPTOGRAM_PRESENT,0100-AuthReq,POS_TERMINAL,Tuesday,evening,medium,medium,medium,low,gt_20,low,high,extreme,much_above_max,not_night,0,0,0,0,0,0,0,0,0,0,122948.81,6.53,1.05,34026.94,0.964,2.907,112,21,29,0.271,0,0.101,0.4623,71.0,155.0,0.4551282051282051,21,16327.86321381142,3.6131722931214756,0.0,0
USD,IVR_PHONE,AE,7646,False,CONTACTLESS,CVV_FAIL,ONLINE_PIN,False,SINGLE_PURCHASE,True,CARD_PRESENT,0210-FinRsp,MOBILE_APP,Sunday,night,low,low,medium,high,gt_20,very_low,high,extreme,below_half_max,low,0,0,0,0,0,0,0,0,0,0,54279.64,7.92,1.18,221383.37,0.741,0.716,78,12,13,0.242,0,0.843,0.1637,39.0,320.0,0.12149532710280374,1,6085.161434977578,0.2451828012971286,0.259,0
EUR,MOBILE_APP,MY,3115,False,MAGSTRIPE,AVS_FAIL,OFFLINE_PIN,False,MOTO_PHONE,False,MOBILE_TOKEN,0400-Reversal,POS_TERMINAL,Tuesday,afternoon,medium,medium,medium,low,2_5,very_low,high,extreme,above_max,not_night,0,0,0,0,0,0,0,0,0,0,195754.19,8.72,2.52,131626.66,0.757,2.718,46,13,37,0.284,0,0.026,0.4617,2.0,13.0,0.14285714285714285,12,20139.319958847736,1.4871812657005374,0.0,0
