night_ratio_30d,mcc_entropy_30d,distinct_merchants_7d,distinct_countries_30d,device_diversity_30d,decline_rate_30d,chargebacks_365d,credit_util_today,spending_trend,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,hour,log_mean_amount_30d,amount_to_mean_30d,log_amount_to_max_30d,amount_z_30d,night_unusual_score,currency,payment_channel,merchant_country,mcc,card_entry_mode,auth_result,pin_verif_method,recurring_flag,auth_characteristics,message_type,term_location,day_name,time_period,night_ratio_group,night_unusual_group,amount_to_max_group,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,very_low_mcc_entropy_flag,low_mcc_entropy_flag,low_night_ratio_flag,high_max_amount_30d_flag,low_spending_trend_flag,low_country_diversity_flag,night_transaction_flag,card_not_present_flag,cross_border_flag,tokenised_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_low_night_ratio_x_card_not_present,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_low_spending_trend,low_night_ratio_x_high_max_amount_30d,low_night_ratio_x_night_transaction,low_mcc_entropy_x_card_not_present,cross_border_x_low_country_diversity,fraud,y_true,fraud_probability,y_pred,threshold,error_type
0.043,0.143,51,15,29,0.128,0,0.154,1.416,0.2714,38.0,279.0,0.1357142857142857,7,2.272125885509337,14053.000000000002,1.0753305115262024,61123.49775784753,0.0,USD,ATM,GB,3251,MANUAL_KEYED,CVV_PASS,NONE,MOTO_PHONE,CARD_PRESENT,0500-Advice,CALL_CENTER,Friday,morning,very_low,not_night,above_max,medium,medium,low,gt_20,very_low,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8602813161485392,1,0.66,FP
0.103,0.536,13,18,28,0.126,0,0.101,2.92,0.1246,22.0,272.0,0.08058608058608059,8,2.658159431488745,4614.412053258585,0.2469705343159853,23181.12323943662,0.0,EUR,MOBILE_APP,VN,3135,TOKEN_IN_APP,BIOMETRIC_FAIL,OFFLINE_PIN,MOTO_PHONE,E_COMMERCE,0210-FinRsp,BRANCH_COUNTER,Friday,morning,low,not_night,below_half_max,low,medium,low,gt_20,very_low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6609534686617464,1,0.66,FP
0.292,1.255,97,6,20,0.095,0,1.428,0.234,0.3454,3.0,154.0,0.01935483870967742,11,2.6152036507358583,13464.949524506217,0.6514278394011467,47558.9638242894,0.0,CNY,WEB_BROWSER,HK,7876,QR_CODE,3DS_FAIL,SIGNATURE,MOTO_PHONE,E_COMMERCE,0420-RepeatRev,ONLINE_PORTAL,Friday,morning,low,not_night,near_max,medium,low,very_high,2_5,very_low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7858810147129429,1,0.66,FP
0.029,0.815,90,11,19,0.334,0,1.793,0.838,0.2008,94.0,474.0,0.19789473684210526,11,2.6354795082673745,13814.416487455197,0.6495902299466049,79299.65432098765,0.0,HKD,ATM,CN,4848,MAGSTRIPE,CVV_PASS,ONLINE_PIN,INSTALLMENT_PLAN,E_COMMERCE,0210-FinRsp,BRANCH_COUNTER,Friday,morning,very_low,not_night,near_max,medium,high,very_high,gt_20,very_low,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.856165758712337,1,0.66,FP
0.073,0.105,60,20,10,0.067,1,0.704,1.98,0.2021,94.0,202.0,0.4630541871921182,11,2.1029138978649784,18846.63614163614,1.7121851247579836,62998.67755102041,0.0,USD,IVR_PHONE,HK,5373,CONTACTLESS,3DS_PASS,ONLINE_PIN,SINGLE_PURCHASE,MOBILE_TOKEN,0510-AdviceRsp,POS_TERMINAL,Friday,morning,very_low,not_night,much_above_max,medium,low,high,gt_20,low,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.6760538902780323,1,0.66,FP
0.346,0.925,101,15,29,0.074,0,0.83,0.108,0.257,92.0,415.0,0.22115384615384615,11,1.8594181177018698,3585.213395638629,0.1746963970853645,11448.582089552241,0.0,USD,POS_TERMINAL,AE,3250,QR_CODE,AVS_PASS,NONE,SINGLE_PURCHASE,FALLBACK_MAG,0210-FinRsp,BRANCH_COUNTER,Friday,morning,medium,not_night,below_half_max,medium,low,high,gt_20,low,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6982546900735213,1,0.66,FP
0.209,0.281,117,10,11,0.12,0,0.278,2.943,0.2103,99.0,454.0,0.2175824175824176,12,2.9678470700644555,453.1233933161954,0.11710756147675302,1463.3610648918468,0.0,CHF,POS_TERMINAL,IN,7770,CONTACTLESS,CVV_FAIL,NONE,SINGLE_PURCHASE,FALLBACK_MAG,0100-AuthReq,BRANCH_COUNTER,Friday,afternoon,low,not_night,below_half_max,medium,medium,low,gt_20,low,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6936349783429947,1,0.66,FP
0.229,0.881,90,12,33,0.043,0,0.586,1.398,0.2037,44.0,291.0,0.1506849315068493,13,2.2321626286975,4581.224248927038,0.2113830927961752,10336.244552058111,0.0,IDR,IVR_PHONE,MY,5223,TOKEN_IN_APP,3DS_PASS,ONLINE_PIN,SINGLE_PURCHASE,CRYPTOGRAM_PRESENT,0200-FinReq,BRANCH_COUNTER,Friday,afternoon,low,not_night,below_half_max,medium,low,medium,gt_20,very_low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7567815188775167,1,0.66,FP
0.076,1.153,84,12,1,0.101,1,1.149,1.725,0.1583,21.0,480.0,0.04365904365904366,13,1.9919755158985601,7558.7967257844475,0.31830732853554333,18716.097972972973,0.0,USD,IVR_PHONE,CN,3219,QR_CODE,AVS_FAIL,OFFLINE_PIN,INSTALLMENT_PLAN,CRYPTOGRAM_PRESENT,0400-Reversal,WEARABLE_PAY,Friday,afternoon,very_low,not_night,below_half_max,low,medium,very_high,gt_20,very_low,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7873661079659146,1,0.66,FP
0.324,0.972,23,18,15,0.091,9,0.62,0.617,0.2327,40.0,77.0,0.5128205128205128,14,1.8855533485144158,5900.949924127466,0.19158137363040903,15012.227799227801,0.0,VND,ATM,VN,3188,CHIP,AVS_FAIL,OFFLINE_PIN,MOTO_MAIL,CRYPTOGRAM_PRESENT,0420-RepeatRev,WEARABLE_PAY,Friday,afternoon,medium,not_night,below_half_max,medium,low,high,gt_20,medium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7391770700148725,1,0.66,FP
0.199,1.274,107,3,18,0.124,0,0.632,2.465,0.2625,11.0,167.0,0.06547619047619048,14,1.9125010869241836,3868.121122599705,0.12136288145708397,6324.012077294685,0.0,EUR,MOBILE_APP,GB,7576,QR_CODE,BIOMETRIC_FAIL,OFFLINE_PIN,SINGLE_PURCHASE,FALLBACK_MAG,0210-FinRsp,BRANCH_COUNTER,Friday,afternoon,low,not_night,below_half_max,medium,medium,high,11_20,very_low,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.7423815784228379,1,0.66,FP
0.459,0.423,67,11,25,0.169,0,0.411,0.433,0.0749,90.0,482.0,0.18633540372670807,16,2.2617630984737906,8736.470833333333,0.39947225077372617,16639.190476190473,0.0,HKD,POS_TERMINAL,PH,7853,MANUAL_KEYED,CVV_PASS,SIGNATURE,SINGLE_PURCHASE,FORCE_POST,0500-Advice,ONLINE_PORTAL,Friday,afternoon,medium,not_night,below_half_max,low,medium,medium,gt_20,very_low,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6954679142136443,1,0.66,FP
0.234,0.854,49,25,31,0.023,0,0.596,0.826,0.306,42.0,121.0,0.3442622950819672,17,1.8991179875485542,17673.935628742514,0.5497773376826162,58734.4328358209,0.0,HKD,WEB_BROWSER,PH,5354,QR_CODE,CVV_PASS,NONE,RECURRING_SUBSCRIPTION,CRYPTOGRAM_PRESENT,0500-Advice,ONLINE_PORTAL,Friday,afternoon,low,not_night,near_max,medium,low,medium,gt_20,low,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7277820428094229,1,0.66,FP
0.042,1.471,34,8,30,0.089,0,0.419,0.566,0.1515,52.0,341.0,0.15204678362573099,18,1.9782390361706734,6273.5408022130005,0.19208856662030302,10746.793838862555,0.0,EUR,SMART_WATCH,CA,3226,CHIP,BIOMETRIC_FAIL,SIGNATURE,SINGLE_PURCHASE,MOBILE_TOKEN,0200-FinReq,POS_TERMINAL,Friday,evening,very_low,not_night,below_half_max,low,low,medium,gt_20,very_low,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.912907391063826,1,0.66,FP
0.596,1.184,5,5,2,0.09,0,1.072,0.402,0.0701,46.0,175.0,0.26136363636363635,19,2.0255131996542803,22322.215039577837,0.6544402635115907,52873.690625,0.0,SGD,IVR_PHONE,KR,5630,MAGSTRIPE,3DS_PASS,SIGNATURE,INSTALLMENT_PLAN,CARD_PRESENT,0110-AuthRsp,MOBILE_APP,Friday,evening,medium,not_night,near_max,low,low,very_high,gt_20,low,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7663093682831651,1,0.66,FP
0.052,1.68,17,4,40,0.086,0,1.707,1.051,0.2694,72.0,307.0,0.23376623376623376,21,1.8421356765531218,542.9809825673534,0.01657987035035825,1346.8110236220473,0.0,USD,WEB_BROWSER,CA,7814,CHIP,3DS_FAIL,SIGNATURE,INSTALLMENT_PLAN,E_COMMERCE,0500-Advice,BRANCH_COUNTER,Friday,evening,very_low,not_night,below_half_max,medium,low,very_high,gt_20,low,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7355824682025093,1,0.66,FP
0.154,1.113,51,3,12,0.215,2,0.817,0.539,0.2364,75.0,337.0,0.22189349112426035,0,1.9358598132018119,7918.52380952381,0.44481969087524637,17872.781758957655,0.846,EUR,SMART_WATCH,JP,4662,MAGSTRIPE,CVV_PASS,ONLINE_PIN,MOTO_PHONE,FORCE_POST,0420-RepeatRev,CALL_CENTER,Saturday,night,low,high,near_max,medium,medium,high,gt_20,low,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9115003789419563,1,0.66,FP
0.15,1.377,32,2,20,0.11,0,1.294,0.583,0.0713,92.0,200.0,0.4577114427860697,3,2.432735777459091,7432.780509218612,0.7252902950873356,29494.418118466896,0.85,USD,ATM,MY,7114,TOKEN_IN_APP,BIOMETRIC_PASS,SIGNATURE,SINGLE_PURCHASE,MOBILE_TOKEN,0110-AuthRsp,WEARABLE_PAY,Saturday,night,low,high,above_max,low,medium,very_high,gt_20,low,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8125504488156784,1,0.66,FP
0.756,1.29,52,4,20,0.094,1,1.165,1.252,0.1776,75.0,277.0,0.2697841726618705,3,2.359910159613315,7866.616619452314,0.31107129731677907,34999.10924369748,0.244,USD,IVR_PHONE,US,3061,MAGSTRIPE,3DS_PASS,SIGNATURE,RECURRING_SUBSCRIPTION,FORCE_POST,0110-AuthRsp,ONLINE_PORTAL,Saturday,night,high,low,below_half_max,low,low,very_high,gt_20,low,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6610984677834877,1,0.66,FP
0.378,0.84,1,6,11,0.178,0,1.409,1.326,0.458,36.0,420.0,0.0855106888361045,5,1.937301774518713,7075.036023054755,0.1949729719867164,18387.569288389514,0.622,JPY,MOBILE_APP,GB,5682,MANUAL_KEYED,BIOMETRIC_FAIL,OFFLINE_PIN,INSTALLMENT_PLAN,FORCE_POST,0500-Advice,KIOSK,Saturday,night,medium,high,below_half_max,medium,medium,very_high,gt_20,very_low,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7563002119190158,1,0.66,FP
0.301,0.73,102,11,15,0.071,0,0.23,0.949,0.1227,42.0,43.0,0.9545454545454546,5,2.1065702090680882,14824.885644768858,0.7049624853423777,52074.07692307692,0.6990000000000001,USD,MOBILE_APP,VN,4490,MANUAL_KEYED,AVS_FAIL,OFFLINE_PIN,MOTO_PHONE,E_COMMERCE,0500-Advice,CALL_CENTER,Saturday,night,medium,high,above_max,low,low,low,gt_20,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7904564987745208,1,0.66,FP
0.156,0.125,63,1,22,0.318,0,0.478,1.525,0.4786,57.0,194.0,0.2923076923076923,6,1.9344157696295783,1780.8453757225434,0.09868174252651069,2761.77802690583,0.0,GBP,SMART_WATCH,ID,3073,CONTACTLESS,BIOMETRIC_PASS,NONE,RECURRING_SUBSCRIPTION,CARD_PRESENT,0500-Advice,KIOSK,Saturday,morning,low,not_night,below_half_max,medium,high,medium,gt_20,low,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9475699230936876,1,0.66,FP
0.304,0.476,19,17,34,0.233,0,0.214,0.419,0.2622,45.0,351.0,0.1278409090909091,7,2.300583090323373,18895.642284569138,0.6665062678305438,73088.96511627907,0.0,EUR,POS_TERMINAL,VN,3057,MAGSTRIPE,BIOMETRIC_FAIL,NONE,MOTO_MAIL,E_COMMERCE,0420-RepeatRev,KIOSK,Saturday,morning,medium,not_night,near_max,medium,medium,low,gt_20,very_low,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8216666706633489,1,0.66,FP
0.433,0.118,31,19,18,0.381,0,0.657,0.143,0.2583,25.0,34.0,0.7142857142857143,7,1.9242486522741338,10209.586861313868,0.2660460423108181,28426.756097560974,0.0,CHF,SMART_WATCH,ZA,3332,MANUAL_KEYED,CVV_PASS,SIGNATURE,SINGLE_PURCHASE,FALLBACK_MAG,0100-AuthReq,KIOSK,Saturday,morning,medium,not_night,below_half_max,medium,high,high,gt_20,medium,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0.7232151303543994,1,0.66,FP
0.319,0.621,110,1,34,0.232,0,1.317,0.901,0.4918,8.0,15.0,0.5,7,2.162172939277301,1179.9275028768698,0.05751530541662581,4049.7549407114616,0.0,VND,ATM,ID,3067,QR_CODE,3DS_PASS,ONLINE_PIN,RECURRING_SUBSCRIPTION,E_COMMERCE,0500-Advice,CALL_CENTER,Saturday,morning,medium,not_night,below_half_max,medium,medium,very_high,6_10,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753024251316057,1,0.66,FP
0.219,1.372,17,13,5,0.063,0,1.722,0.906,0.0488,87.0,272.0,0.31868131868131866,8,1.9065751436566365,19649.358098068347,0.44289863599723656,53106.204819277096,0.0,EUR,API_SERVER,ID,4997,TOKEN_IN_APP,3DS_PASS,NONE,MOTO_MAIL,FALLBACK_MAG,0110-AuthRsp,BRANCH_COUNTER,Saturday,morning,low,not_night,near_max,low,low,very_high,gt_20,low,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7961157167176859,1,0.66,FP
0.131,0.872,21,14,20,0.21,0,0.161,1.222,0.1974,11.0,63.0,0.171875,8,2.020222182019865,11912.970822281168,0.34067969316897306,30446.528813559322,0.0,SGD,ATM,ZA,7057,CONTACTLESS,3DS_FAIL,ONLINE_PIN,MOTO_MAIL,CRYPTOGRAM_PRESENT,0210-FinRsp,WEARABLE_PAY,Saturday,morning,low,not_night,below_half_max,low,medium,low,11_20,very_low,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8654080782741883,1,0.66,FP
0.313,0.036,91,3,3,0.334,0,0.086,1.658,0.1279,42.0,128.0,0.32558139534883723,8,2.2491843162669305,3260.3744725738393,0.2154104065113206,6673.838012958963,0.0,USD,ATM,CA,4613,CHIP,BIOMETRIC_FAIL,NONE,RECURRING_SUBSCRIPTION,FALLBACK_MAG,0400-Reversal,KIOSK,Saturday,morning,medium,not_night,below_half_max,low,high,low,gt_20,low,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7037247667799371,1,0.66,FP
0.067,0.142,28,23,11,0.186,0,0.98,0.193,0.7681,100.0,229.0,0.43478260869565216,10,1.8991179875485542,5659.226047904192,0.18295244340005826,16084.23404255319,0.0,USD,IVR_PHONE,KR,4487,TOKEN_IN_APP,CVV_FAIL,SIGNATURE,INSTALLMENT_PLAN,E_COMMERCE,0500-Advice,WEARABLE_PAY,Saturday,morning,very_low,not_night,below_half_max,high,medium,very_high,gt_20,low,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0.7599424811324191,1,0.66,FP
0.099,1.418,29,6,26,0.182,1,1.499,0.116,0.0218,42.0,276.0,0.15162454873646208,10,1.80005827204275,26034.38347107438,0.5123568073062559,59887.06083650191,0.0,USD,WEB_BROWSER,BR,3300,MANUAL_KEYED,AVS_PASS,NONE,SINGLE_PURCHASE,CARD_PRESENT,0420-RepeatRev,BRANCH_COUNTER,Saturday,morning,very_low,not_night,near_max,low,medium,very_high,gt_20,very_low,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.8946324163423767,1,0.66,FP
0.19,0.101,20,17,31,0.033,0,0.571,2.734,0.2628,48.0,380.0,0.12598425196850394,10,1.9837562915454279,17475.277854195323,0.5316972281145824,57483.71040723982,0.0,USD,IVR_PHONE,KR,7161,TOKEN_IN_APP,AVS_FAIL,NONE,MOTO_PHONE,MOBILE_TOKEN,0500-Advice,WEARABLE_PAY,Saturday,morning,low,not_night,near_max,medium,low,medium,gt_20,very_low,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7468336253373435,1,0.66,FP
0.199,0.528,66,11,35,0.117,8,1.821,0.421,0.6565,29.0,211.0,0.13679245283018868,10,1.9213246735826988,20183.770131771595,0.6774561268028476,47698.726643598624,0.0,USD,IVR_PHONE,HK,5732,MAGSTRIPE,BIOMETRIC_PASS,OFFLINE_PIN,INSTALLMENT_PLAN,CARD_PRESENT,0400-Reversal,WEARABLE_PAY,Saturday,morning,low,not_night,near_max,high,medium,very_high,gt_20,very_low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6862724685757784,1,0.66,FP
0.621,0.701,32,1,12,0.191,0,0.243,0.651,0.2933,23.0,399.0,0.0575,10,2.060513531794317,5527.565605095541,0.364331544618828,17353.816,0.0,USD,SMART_WATCH,AU,5223,MAGSTRIPE,3DS_PASS,SIGNATURE,SINGLE_PURCHASE,FALLBACK_MAG,0200-FinReq,KIOSK,Saturday,morning,high,not_night,below_half_max,medium,medium,low,gt_20,very_low,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6887769549350966,1,0.66,FP
0.21,0.207,28,18,29,0.156,0,1.094,1.243,0.5295,65.0,167.0,0.3869047619047619,12,2.7650604558189897,4222.607682619647,0.39310212271917955,27817.481327800822,0.0,USD,ATM,AU,7357,CHIP,BIOMETRIC_PASS,NONE,MOTO_MAIL,E_COMMERCE,0500-Advice,WEARABLE_PAY,Saturday,afternoon,low,not_night,below_half_max,high,medium,very_high,gt_20,low,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.6795149663312652,1,0.66,FP
0.174,0.926,34,3,40,0.168,0,0.842,1.208,0.3365,99.0,485.0,0.2037037037037037,13,2.3485140248824456,6853.585482330467,0.3125162273029847,22076.17538461538,0.0,GBP,IVR_PHONE,ZA,3298,CONTACTLESS,BIOMETRIC_PASS,SIGNATURE,RECURRING_SUBSCRIPTION,E_COMMERCE,0500-Advice,KIOSK,Saturday,afternoon,low,not_night,below_half_max,medium,medium,high,gt_20,low,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9214261451895444,1,0.66,FP
0.257,0.876,11,7,27,0.086,0,0.598,0.93,0.4295,89.0,206.0,0.42995169082125606,14,2.0980179272527715,23447.71656441718,0.8218262601483928,66815.29370629371,0.0,CHF,API_SERVER,PH,5770,CHIP,3DS_PASS,SIGNATURE,INSTALLMENT_PLAN,FORCE_POST,0110-AuthRsp,ONLINE_PORTAL,Saturday,afternoon,low,not_night,above_max,medium,low,medium,gt_20,low,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7688026242767941,1,0.66,FP
0.697,0.3,8,4,5,0.167,0,0.888,0.42,0.2254,1.0,1.0,0.5,16,2.0255131996542803,24891.150395778364,1.284216384310339,74572.46640316206,0.0,USD,API_SERVER,ZA,7679,CONTACTLESS,BIOMETRIC_FAIL,OFFLINE_PIN,MOTO_MAIL,MOBILE_TOKEN,0510-AdviceRsp,BRANCH_COUNTER,Saturday,afternoon,high,not_night,much_above_max,medium,medium,high,0_1,low,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.7852514637188428,1,0.66,FP
