amount,currency,local_timestamp,payment_channel,merchant_country,mcc,card_present,ip_risk,device_id,card_entry_mode,auth_result,merchant_id,pin_verif_method,tokenised,recurring_flag,cross_border,card_activation_age,auth_characteristics,message_type,mean_amount_30d,std_amount_30d,max_amount_30d,txn_counts,distinct_merchants_7d,distinct_countries_30d,online_share_7d,night_ratio_30d,days_since_last_txn,decline_rate_30d,chargebacks_365d,device_diversity_30d,mcc_entropy_30d,credit_util_today,spending_trend,term_location,fraud,ip_address,ip_score,txn_count_7d,txn_count_30d,txn_count_ratio_7d_30d,ip_is_private,ip_score_bin,transaction_datetime,hour,day_of_week,day_name,is_weekend,is_night_txn,month,day,year,time_period,night_unusual_score,is_night_unusual,amount_invalid_flag,std_amount_30d_zero_flag,mean_amount_30d_zero_flag,duplicate_row_flag,ip_score_risk_group,decline_rate_risk_group,credit_util_risk_group,txn_count_7d_group,txn_velocity_group,night_ratio_group,amount_to_mean_30d,amount_to_mean_group,amount_to_max_30d,amount_to_max_group,low_mcc_entropy_flag,low_night_ratio_flag,high_max_amount_30d_flag,low_spending_trend_flag,low_country_diversity_flag,high_device_diversity_flag,high_decline_rate_flag,high_ip_score_flag,night_transaction_flag,card_not_present_flag,cross_border_flag,tokenised_flag,night_unusual_group,high_ip_high_amount_flag,high_decline_high_amount_flag,private_ip_high_score_flag,high_velocity_high_amount_flag,low_mcc_entropy_x_low_night_ratio,low_mcc_entropy_x_high_max_amount_30d,low_mcc_entropy_x_low_spending_trend,low_mcc_entropy_x_card_not_present,low_night_ratio_x_high_max_amount_30d,cross_border_x_low_country_diversity,high_ip_score_x_card_not_present
71186.37,KRW,2025-03-07 07:27:27,IVR_PHONE,AE,3126,True,"{'ip': '120.192.146.107', 'score': 0.0881}",DEV-DC2C27D6AC8247E6,CONTACTLESS,BIOMETRIC_PASS,MID-81F814D1428A,ONLINE_PIN,True,MOTO_PHONE,True,2318,CRYPTOGRAM_PRESENT,0110-AuthRsp,10.13,1.44,167692.12,"(39, 423)",89,22,0.91,0.67,35,0.09,0,37,1.423,0.942,0.484,POS_TERMINAL,0,120.192.146.107,0.0881,39.0,423.0,0.09198113207547169,0,low,2025-03-07 07:27:27,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,low,very_high,gt_20,very_low,high,6395.9002695417785,extreme,0.4245038198347076,below_half_max,0,0,0,1,0,1,0,0,0,0,1,1,not_night,0,0,0,0,0,0,0,0,0,0,0
36855.02,USD,2025-03-07 07:27:37,SMART_WATCH,GB,4480,False,"{'ip': '36.148.101.28', 'score': 0.1993}",DEV-C34538B888A0477E,CHIP,AVS_FAIL,MID-D300D4659C52,ONLINE_PIN,False,MOTO_PHONE,False,3890,FORCE_POST,0100-AuthReq,12.18,4.05,222441.42,"(21, 490)",52,24,0.834,0.628,135,0.084,0,29,0.384,1.166,0.909,MOBILE_APP,0,36.148.101.28,0.1993,21.0,490.0,0.04276985743380855,0,low,2025-03-07 07:27:37,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,low,very_high,gt_20,very_low,high,2796.283763277693,extreme,0.16568341595995942,below_half_max,1,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,1,0,0,0
13175.28,USD,2025-03-07 07:30:18,WEB_BROWSER,IN,7667,False,"{'ip': '82.152.167.193', 'score': 0.4542}",DEV-A52423F1DF924C42,CONTACTLESS,3DS_FAIL,MID-81CEA3976DDD,ONLINE_PIN,False,RECURRING_SUBSCRIPTION,False,1857,FALLBACK_MAG,0110-AuthRsp,8.55,2.46,18963.19,"(47, 152)",112,7,0.528,0.3,68,0.146,0,15,2.474,1.508,1.251,MOBILE_APP,0,82.152.167.193,0.4542,47.0,152.0,0.30718954248366015,0,medium,2025-03-07 07:30:18,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,medium,very_high,gt_20,low,low,1379.6104712041883,extreme,0.6947452013505455,near_max,0,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
104648.79,USD,2025-03-07 07:32:52,WEB_BROWSER,MY,4356,False,"{'ip': '26.21.122.116', 'score': 0.2897}",DEV-030EBF59B13F44F6,CHIP,AVS_PASS,MID-57F54D166724,SIGNATURE,False,RECURRING_SUBSCRIPTION,False,2692,MOBILE_TOKEN,0510-AdviceRsp,5.56,1.86,70907.14,"(89, 228)",60,15,0.007,0.034,158,0.282,0,36,3.116,0.947,3.151,MOBILE_APP,0,26.21.122.116,0.2897,89.0,228.0,0.388646288209607,0,medium,2025-03-07 07:32:52,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,medium,very_high,gt_20,low,very_low,15952.559451219513,extreme,1.475836060570761,above_max,0,1,0,0,0,1,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
180837.71,VND,2025-03-07 07:34:30,WEB_BROWSER,BR,5779,True,"{'ip': '30.64.165.138', 'score': 0.3918}",DEV-F5FC83B7EA104023,QR_CODE,AVS_FAIL,MID-0C8934C70B2F,NONE,True,MOTO_MAIL,False,1320,CRYPTOGRAM_PRESENT,0510-AdviceRsp,6.37,3.07,44652.78,"(6, 477)",84,25,0.027,0.532,103,0.095,0,1,1.105,1.252,4.535,CALL_CENTER,0,30.64.165.138,0.3918,6.0,477.0,0.012552301255230125,0,medium,2025-03-07 07:34:30,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,very_high,6_10,very_low,medium,24537.002713704205,extreme,4.049773837735573,much_above_max,0,0,0,0,0,0,0,0,0,0,0,1,not_night,0,0,0,0,0,0,0,0,0,0,0
59867.93,CAD,2025-03-07 07:36:01,IVR_PHONE,VN,4325,True,"{'ip': '251.229.132.228', 'score': 0.6292}",DEV-FA61EEB3D72B4316,QR_CODE,BIOMETRIC_FAIL,MID-6FD3DCCBBE54,SIGNATURE,True,INSTALLMENT_PLAN,False,2432,FORCE_POST,0510-AdviceRsp,5.41,1.5,72365.52,"(18, 37)",19,10,0.849,0.925,147,0.188,0,34,3.365,1.626,4.105,KIOSK,0,251.229.132.228,0.6292,18.0,37.0,0.47368421052631576,0,high,2025-03-07 07:36:01,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,high,medium,very_high,11_20,low,high,9339.770670826832,extreme,0.8272876739132958,near_max,0,0,0,0,0,0,0,1,0,0,0,1,not_night,0,0,0,0,0,0,0,0,0,0,0
87839.12,VND,2025-03-07 07:36:25,POS_TERMINAL,SG,7827,False,"{'ip': '58.197.158.217', 'score': 0.3199}",DEV-A04AC4F6499147D2,CHIP,AVS_FAIL,MID-A769608BFC73,NONE,False,MOTO_PHONE,False,776,CRYPTOGRAM_PRESENT,0210-FinRsp,6.48,2.62,139804.23,"(39, 45)",3,25,0.737,0.868,1,0.271,0,25,3.587,1.819,1.159,ONLINE_PORTAL,0,58.197.158.217,0.3199,39.0,45.0,0.8478260869565217,0,medium,2025-03-07 07:36:25,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,medium,very_high,gt_20,high,high,11743.197860962566,extreme,0.6282963806146593,near_max,0,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
46220.51,EUR,2025-03-07 07:37:12,MOBILE_APP,KR,3107,True,"{'ip': '50.202.5.47', 'score': 0.0947}",DEV-A1134CBAB726437A,CHIP,AVS_FAIL,MID-46C9243CC96D,ONLINE_PIN,False,SINGLE_PURCHASE,False,2803,MOBILE_TOKEN,0110-AuthRsp,7.31,1.25,51450.88,"(95, 190)",68,16,0.63,0.148,1,0.325,0,20,3.997,0.14,3.01,BRANCH_COUNTER,0,50.202.5.47,0.0947,95.0,190.0,0.4973821989528796,0,low,2025-03-07 07:37:12,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,high,low,gt_20,low,low,5562.034897713599,extreme,0.8983249980370008,near_max,0,0,0,0,0,0,1,0,0,0,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
50111.02,USD,2025-03-07 07:38:11,SMART_WATCH,AE,4732,False,"{'ip': '227.86.201.12', 'score': 0.3357}",DEV-DC36F0A6E5204009,QR_CODE,CVV_FAIL,MID-B2952BC12A25,SIGNATURE,False,SINGLE_PURCHASE,False,990,FALLBACK_MAG,0210-FinRsp,5.83,1.21,62576.19,"(25, 335)",109,21,0.191,0.773,150,0.093,0,40,1.805,1.1,4.922,ONLINE_PORTAL,0,227.86.201.12,0.3357,25.0,335.0,0.0744047619047619,0,medium,2025-03-07 07:38:11,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,very_high,gt_20,very_low,high,7336.898975109809,extreme,0.8007873156336996,near_max,0,0,0,0,0,1,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
118767.61,USD,2025-03-07 07:38:34,WEB_BROWSER,SG,4144,False,"{'ip': '121.189.87.160', 'score': 0.1792}",DEV-960193313E69471F,TOKEN_IN_APP,3DS_PASS,MID-6E7B13820CE7,OFFLINE_PIN,True,MOTO_MAIL,True,1748,MOBILE_TOKEN,0510-AdviceRsp,10.18,2.01,217301.95,"(20, 290)",18,11,0.115,0.451,23,0.09,0,1,3.658,1.111,2.244,BRANCH_COUNTER,0,121.189.87.160,0.1792,20.0,290.0,0.06872852233676977,0,low,2025-03-07 07:38:34,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,low,very_high,11_20,very_low,medium,10623.22093023256,extreme,0.5465531415933378,near_max,0,0,0,0,0,0,0,0,0,1,1,1,not_night,0,0,0,0,0,0,0,0,0,0,0
166669.51,USD,2025-03-07 07:39:33,POS_TERMINAL,KR,3006,False,"{'ip': '142.226.79.102', 'score': 0.5467}",DEV-B42D25CF141947D9,QR_CODE,3DS_FAIL,MID-728C1DDDBB87,OFFLINE_PIN,True,MOTO_PHONE,True,1332,CARD_PRESENT,0200-FinReq,5.47,1.97,34956.72,"(6, 330)",108,1,0.317,0.315,158,0.13,0,2,0.965,1.83,3.72,POS_TERMINAL,0,142.226.79.102,0.5467,6.0,330.0,0.01812688821752266,0,high,2025-03-07 07:39:33,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,high,medium,very_high,6_10,very_low,medium,25760.357032457498,extreme,4.767745436487277,much_above_max,0,0,0,0,1,0,0,1,0,1,1,1,not_night,0,0,0,0,0,0,0,0,0,1,1
35014.0,GBP,2025-03-07 07:40:29,POS_TERMINAL,CN,3150,False,"{'ip': '35.121.84.143', 'score': 0.0271}",DEV-DD32417A1EAD4FC0,QR_CODE,CVV_PASS,MID-74F1AAF6900F,ONLINE_PIN,True,SINGLE_PURCHASE,False,1632,E_COMMERCE,0420-RepeatRev,7.05,1.06,205443.97,"(6, 80)",39,19,0.732,0.306,180,0.251,0,4,0.008,0.138,0.398,KIOSK,1,35.121.84.143,0.0271,6.0,80.0,0.07407407407407407,0,low,2025-03-07 07:40:29,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,low,6_10,very_low,medium,4349.565217391304,extreme,0.17043006699068855,below_half_max,1,0,0,1,0,0,0,0,0,1,0,1,not_night,0,0,0,0,0,0,1,1,0,0,0
22630.77,SGD,2025-03-07 07:41:04,POS_TERMINAL,PH,7964,True,"{'ip': '66.24.146.163', 'score': 0.1973}",DEV-E74734D6409D48EB,QR_CODE,3DS_PASS,MID-68CAE07FFC9A,OFFLINE_PIN,False,SINGLE_PURCHASE,False,2972,FALLBACK_MAG,0400-Reversal,6.92,3.48,9124.53,"(14, 413)",114,3,0.873,0.942,169,0.107,0,15,3.171,0.504,1.751,WEARABLE_PAY,0,66.24.146.163,0.1973,14.0,413.0,0.033816425120772944,0,low,2025-03-07 07:41:04,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,medium,11_20,very_low,high,2857.4204545454545,extreme,2.4799403431910254,much_above_max,0,0,0,0,1,0,0,0,0,0,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
144774.94,GBP,2025-03-07 07:41:51,WEB_BROWSER,ID,5447,False,"{'ip': '2.51.70.28', 'score': 0.0128}",DEV-E97AE53EC08E42C5,MANUAL_KEYED,3DS_PASS,MID-CEA4ADAC53EF,ONLINE_PIN,True,RECURRING_SUBSCRIPTION,False,1504,MOBILE_TOKEN,0110-AuthRsp,5.55,2.68,127411.23,"(10, 183)",97,20,0.878,0.221,17,0.121,0,16,0.456,1.957,2.787,MOBILE_APP,0,2.51.70.28,0.0128,10.0,183.0,0.05434782608695652,0,low,2025-03-07 07:41:51,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,very_high,6_10,very_low,low,22103.044274809163,extreme,1.1362719261722365,above_max,0,0,0,0,0,0,0,0,0,1,0,1,not_night,0,0,0,0,0,0,0,0,0,0,0
82382.57,GBP,2025-03-07 07:43:21,ATM,TH,3204,True,"{'ip': '204.204.144.62', 'score': 0.312}",DEV-6AB837DC11924796,MAGSTRIPE,BIOMETRIC_PASS,MID-CFC5DCDD075C,ONLINE_PIN,False,INSTALLMENT_PLAN,False,1457,FORCE_POST,0110-AuthRsp,17.25,2.26,124771.06,"(61, 253)",26,12,0.723,0.362,60,0.089,0,38,1.47,0.44,3.818,KIOSK,0,204.204.144.62,0.312,61.0,253.0,0.24015748031496062,0,medium,2025-03-07 07:43:21,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,medium,gt_20,low,medium,4514.113424657535,extreme,0.6602645656407372,near_max,0,0,0,0,0,1,0,0,0,0,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
131261.39,KRW,2025-03-07 07:44:35,SMART_WATCH,JP,4523,False,"{'ip': '136.250.153.154', 'score': 0.2826}",DEV-A0412AD347204CA1,MANUAL_KEYED,BIOMETRIC_PASS,MID-F52513E2BA1A,OFFLINE_PIN,False,INSTALLMENT_PLAN,False,1128,CRYPTOGRAM_PRESENT,0200-FinReq,5.44,1.17,139794.23,"(18, 27)",3,9,0.126,0.474,37,0.091,0,29,2.204,0.317,4.826,ONLINE_PORTAL,0,136.250.153.154,0.2826,18.0,27.0,0.6428571428571429,0,medium,2025-03-07 07:44:35,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,medium,11_20,medium,medium,20382.20341614907,extreme,0.9389547125463437,near_max,0,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
148388.04,USD,2025-03-07 07:44:43,IVR_PHONE,GB,4601,False,"{'ip': '222.155.45.67', 'score': 0.2687}",DEV-1FB51ED417894055,CONTACTLESS,CVV_PASS,MID-CDF2223A5974,ONLINE_PIN,False,MOTO_MAIL,False,3451,FALLBACK_MAG,0110-AuthRsp,61.45,2.8,217761.64,"(91, 96)",49,8,0.177,0.481,159,0.077,0,4,0.852,1.679,2.251,BRANCH_COUNTER,0,222.155.45.67,0.2687,91.0,96.0,0.9381443298969072,0,medium,2025-03-07 07:44:43,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,medium,low,very_high,gt_20,high,medium,2376.1095276220976,extreme,0.681421018775305,near_max,0,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
100793.68,USD,2025-03-07 07:45:28,MOBILE_APP,JP,5632,False,"{'ip': '89.91.97.97', 'score': 0.5043}",DEV-7CA302EFA24840E9,TOKEN_IN_APP,AVS_FAIL,MID-FA713FEDE017,ONLINE_PIN,True,MOTO_MAIL,False,2023,FALLBACK_MAG,0210-FinRsp,5.98,3.28,171983.62,"(81, 484)",93,7,0.733,0.304,44,0.058,0,34,3.468,1.548,2.627,MOBILE_APP,0,89.91.97.97,0.5043,81.0,484.0,0.1670103092783505,0,high,2025-03-07 07:45:28,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,high,low,very_high,gt_20,very_low,medium,14440.355300859597,extreme,0.5860621723035466,near_max,0,0,0,0,0,0,0,0,0,1,0,1,not_night,0,0,0,0,0,0,0,0,0,0,0
18157.48,EUR,2025-03-07 07:45:31,IVR_PHONE,US,4598,False,"{'ip': '104.110.93.66', 'score': 0.1806}",DEV-A2069D3A8BDC4D8E,MANUAL_KEYED,AVS_PASS,MID-698312065551,NONE,False,MOTO_PHONE,False,522,CARD_PRESENT,0100-AuthReq,12.37,1.01,114312.26,"(90, 211)",94,12,0.468,0.871,69,0.199,0,17,3.464,0.527,3.009,MOBILE_APP,0,104.110.93.66,0.1806,90.0,211.0,0.42452830188679247,0,low,2025-03-07 07:45:31,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,low,medium,medium,gt_20,low,high,1358.0762902019446,extreme,0.158839665669582,below_half_max,0,0,0,0,0,0,0,0,0,1,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
10398.83,EUR,2025-03-07 07:45:42,IVR_PHONE,CN,3228,True,"{'ip': '190.252.251.43', 'score': 0.5225}",DEV-99A395A1938A479B,QR_CODE,CVV_PASS,MID-0B52DAE47973,SIGNATURE,False,SINGLE_PURCHASE,False,558,FORCE_POST,0100-AuthReq,5.31,1.09,176955.85,"(5, 143)",101,3,0.887,0.751,54,0.189,1,39,1.866,1.445,2.348,KIOSK,0,190.252.251.43,0.5225,5.0,143.0,0.034722222222222224,0,high,2025-03-07 07:45:42,7,4,Friday,0,0,3,7,2025,morning,0.0,0,0,0,0,0,high,medium,very_high,2_5,very_low,high,1647.9920760697307,extreme,0.05876477796705807,below_half_max,0,0,0,0,1,1,0,1,0,0,0,0,not_night,0,0,0,0,0,0,0,0,0,0,0
